paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma prime size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110
mackay,N,774,724,53,5.5,41,0.3,0.36237,65.455,28.681,-0.392,0.433947,0.991427525
mackay,O,774,724,59,2,43.5,0.3,0.36237,65.455,28.681,-0.392,0.418574,0.998824581
mackay,P,774,724,74,4,42,0.3,0.36237,65.455,28.681,-0.392,0.428166,0.995429343
mackay,Q,774,724,80,5.5,41,0.3,0.36237,65.455,28.681,-0.392,0.433947,0.991427525
mackay,R,774,724,82,7.5,39,0.45,0.36237,65.455,28.681,-0.392,0.445864,0.985441749
mackay,S,774,724,90,4,41.5,0.45,0.36237,65.455,28.681,-0.392,0.431743,0.996189863
mackay,T,774,724,98,5,40,0.45,0.36237,65.455,28.681,-0.392,0.440593,1
mackay,U,774,724,109,1.5,43.5,0.45,0.36237,65.455,28.681,-0.392,0.418652,1
mackay,V,774,724,141,2,43,0.45,0.36237,65.455,28.681,-0.392,0.42199,1
1988,CMSX-4 01,760,750,1900,0,45,0.34,0.36289,64.865,23.096,-0.776,0.408248,1
1988,CMSX-4 02,760,750,1050,0,45,0.22,0.36289,64.865,23.096,-0.776,0.408248,1
1988,CMSX-4 03,760,750,120,54.74,35.26,0.54,0.36289,64.865,23.096,-0.776,0.272239,1
1988,CMSX-4 04,760,750,1000,54.74,35.26,0.34,0.36289,64.865,23.096,-0.776,0.272239,1
1988,CMSX-4 05,760,750,1800,54.74,35.26,0.22,0.36289,64.865,23.096,-0.776,0.272239,1
Gunturi et al.,CMSX-04 -6,750,750,118,34,27.237,0.45,0.36281,65.132,22.611,-0.788,0.435688,0.895569766
Gunturi et al.,CMSX-04 -7,750,720,110,47.9,23.22,0.45,0.36281,65.132,22.611,-0.788,0.393607,0.961268473
Gunturi et al.,CMSX-04 -8,750,675,40,42.2,15.574,0.45,0.36281,65.132,22.611,-0.788,0.450147,0.880163591
Gunturi et al.,CMSX-04 -9,750,750,5,42.2,15.574,0.45,0.36281,65.132,22.611,-0.788,0.450147,0.880163591
Gunturi et al.,CMSX-04 -10,750,720,5,41.3,4.443,0.45,0.36281,65.132,22.611,-0.788,0.442881,0.949679485
Gunturi et al. ,CMSX-04 -11,750,750,5,37.5,7.505,0.45,0.36281,65.132,22.611,-0.788,0.455212,0.995162693
G.M. Han et al.,A SRR99,760,790,456,3.85,41.78,0.45,0.36244,65.583,27.69,-0.608,0.429871,0.996143029
G.M. Han et al.,B ,760,790,449,5.85,40.53,0.45,0.36244,65.583,27.69,-0.608,0.436978,0.990567031
G.M. Han et al.,C ,760,790,435,9.43,35.31,0.45,0.36244,65.583,27.69,-0.608,0.4642,1
G.M. Han et al.,D,760,790,295,12.53,34.75,0.45,0.36244,65.583,27.69,-0.608,0.466454,0.963571971
G.M. Han et al.,E,760,790,329,15.79,31.23,0.45,0.36244,65.583,27.69,-0.608,0.481251,0.952166333
G.M. Han et al.,F,760,790,376,18.39,31.38,0.45,0.36244,65.583,27.69,-0.608,0.473454,0.919354362
G.M. Han et al.,G,760,790,326,21.36,25.36,0.45,0.36244,65.583,27.69,-0.608,0.496598,0.936246219
G.M. Han et al.,H,760,790,93,23.93,26.09,0.45,0.36244,65.583,27.69,-0.608,0.486782,0.883970648
G.M. Han et al.,I,760,790,118,25.73,27.82,0.45,0.36244,65.583,27.69,-0.608,0.469741,0.878224383
G.M. Han et al.,J,760,790,135,29.22,15.7,0.45,0.36244,65.583,27.69,-0.608,0.484831,1
G.M. Han et al.,K,760,790,4.7,43.4,2.41,0.45,0.36244,65.583,27.69,-0.608,0.42741,0.959357526
