paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma_prime_size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110,y_log10,T_K,Inv_T_K,Log_Stress,cos_001,cos_011,RSS_110,Log_RSS_110,
1988,CMSX2 27,760,750,50,48.361,20.755,0.3,0.36244,64.959,31.316,-0.375,0.402644,0.993686731,1.698970004,1033.15,0.967913662,2.875061263,0.664435069,0.935104288,301.983,2.479982495,
1988,CMSX2 28,760,750,4,40.357,11.106,0.3,0.36244,64.959,31.316,-0.375,0.462962,0.853229855,0.602059991,1033.15,0.967913662,2.875061263,0.762024502,0.981272498,347.2215,2.540606609,
1988,CMSX2 29,760,750,19,29.956,22.14,0.3,0.36244,64.959,31.316,-0.375,0.483392,0.828151893,1.278753601,1033.15,0.967913662,2.875061263,0.866409121,0.926265751,362.544,2.559360722,
1988,CMSX2 30,760,750,343,11.118,35.836,0.3,0.36244,64.959,31.316,-0.375,0.461945,0.970977064,2.53529412,1033.15,0.967913662,2.875061263,0.981232133,0.810696119,346.45875,2.539651534,
1988,CMSX2 31,760,750,430,9.904,35.24,0.3,0.36244,64.959,31.316,-0.375,0.466069,0.992123484,2.633468456,1033.15,0.967913662,2.875061263,0.985097321,0.816742274,349.55175,2.543511481,
1988,CMSX2 32,760,750,569,2.872,42.532,0.3,0.36244,64.959,31.316,-0.375,0.425103,0.997911094,2.755112266,1033.15,0.967913662,2.875061263,0.998743962,0.736899901,318.82725,2.503555433,
1988,CMSX2 33,760,750,780,13.149,31.852,0.3,0.36244,64.959,31.316,-0.375,0.477775,0.999053948,2.892094603,1033.15,0.967913662,2.875061263,0.973781776,0.849414093,358.33125,2.554284685,
1988,CMSX2 34,760,750,3.5,38.379,6.622,0.3,0.36244,64.959,31.316,-0.375,0.450053,0.997882472,0.544068044,1033.15,0.967913662,2.875061263,0.783921067,0.99332856,337.53975,2.528324924,
1988,CMSX2 35,760,750,3,44.087,4.11,0.3,0.36244,64.959,31.316,-0.375,0.431255,0.966996325,0.477121255,1033.15,0.967913662,2.875061263,0.718284177,0.997428289,323.44125,2.509795407,
1988,CMSX2 36,760,750,1138,1.988,43.177,0.45,0.36244,64.959,31.316,-0.375,0.420877,0.999156523,3.056142262,1033.15,0.967913662,2.875061263,0.999398114,0.729243364,315.65775,2.499216457,
1988,CMSX2 37,760,750,759,5.813,40.111,0.45,0.36244,64.959,31.316,-0.375,0.440021,0.99158222,2.880241776,1033.15,0.967913662,2.875061263,0.994857754,0.764797724,330.01575,2.518534667,
1988,CMSX2 38,760,750,664,14.188,30.837,0.45,0.36244,64.959,31.316,-0.375,0.481789,0.994835914,2.822168079,1033.15,0.967913662,2.875061263,0.969496706,0.858629055,361.34175,2.557918144,
1988,CMSX2 39,760,750,550,13.324,34.054,0.45,0.36244,64.959,31.316,-0.375,0.469364,0.959613434,2.740362689,1033.15,0.967913662,2.875061263,0.973082424,0.828510178,352.023,2.54657104,
1988,CMSX2 40,760,750,484,22.873,29.201,0.45,0.36244,64.959,31.316,-0.375,0.472135,0.895102036,2.684845362,1033.15,0.967913662,2.875061263,0.921368674,0.872913562,354.10125,2.54912746,
1988,CMSX2 41,760,750,30,34.882,13.344,0.45,0.36244,64.959,31.316,-0.375,0.48403,0.873354957,1.477121255,1033.15,0.967913662,2.875061263,0.82033158,0.97300192,363.0225,2.559933543,
1988,CMSX2 42,760,750,8,36.585,19.141,0.45,0.36244,64.959,31.316,-0.375,0.466967,0.751496358,0.903089987,1033.15,0.967913662,2.875061263,0.802973539,0.944714518,350.22525,2.544347454,
1988,CMSX2 43,760,750,8,38.673,25.935,0.45,0.36244,64.959,31.316,-0.375,0.421864,0.832088066,0.903089987,1033.15,0.967913662,2.875061263,0.780724959,0.899290784,316.398,2.50023373,
1988,CMSX2 44,760,750,23,46.866,27.164,0.45,0.36244,64.959,31.316,-0.375,0.374081,0.903691981,1.361727836,1033.15,0.967913662,2.875061263,0.68370694,0.889703401,280.56075,2.448026914,
1988,CMSX2 45,760,750,33,48.67,28.517,0.45,0.36244,64.959,31.316,-0.375,0.355935,0.931116636,1.51851394,1033.15,0.967913662,2.875061263,0.660394938,0.878675498,266.95125,2.426431959,
1988,CMSX2 46,760,750,32,50.374,28.274,0.45,0.36244,64.959,31.316,-0.375,0.350272,0.972941029,1.505149978,1033.15,0.967913662,2.875061263,0.637773572,0.880692397,262.704,2.419466686,
1988,CMSX2 47,760,750,28,51.3,30.244,0.45,0.36244,64.959,31.316,-0.375,0.331,0.974513595,1.447158031,1033.15,0.967913662,2.875061263,0.625242656,0.863888256,248.25,2.394889257,
1988,CMSX2 48,760,750,36,53.108,32.54,0.45,0.36244,64.959,31.316,-0.375,0.304046,0.992609671,1.556302501,1033.15,0.967913662,2.875061263,0.600308562,0.843016134,228.0345,2.358000558,
1988,CMSX2 49,760,750,21,45.039,17.963,0.45,0.36244,64.959,31.316,-0.375,0.429625,0.932785569,1.322219295,1033.15,0.967913662,2.875061263,0.706625305,0.951255872,322.21875,2.508150809,
1988,CMSX2 50,760,750,15,42.781,8.525,0.45,0.36244,64.959,31.316,-0.375,0.449037,0.920672461,1.176091259,1033.15,0.967913662,2.875061263,0.733955135,0.988951275,336.77775,2.527343391,
1988,CMSX2 51,760,750,9,43.78,6.004,0.45,0.36244,64.959,31.316,-0.375,0.438653,0.954387637,0.954242509,1033.15,0.967913662,2.875061263,0.722001788,0.994514595,328.98975,2.517182367,
1988,CMSX2 52,760,750,44,44.093,2.147,0.45,0.36244,64.959,31.316,-0.375,0.423462,0.969140088,1.643452676,1033.15,0.967913662,2.875061263,0.718211314,0.999297999,317.5965,2.501875708,
mackay,MARM 247 01,774,724,179,3,42,0.23,0.36237,65.455,28.681,-0.392,0.428467,1,2.252853031,1047.15,0.954973022,2.859738566,0.998629535,0.743144825,310.210108,2.491655945,
mackay,B ,774,724,26,7,38.5,0.23,0.36237,65.455,28.681,-0.392,0.449715,0.9911922,1.414973348,1047.15,0.954973022,2.859738566,0.992546152,0.782608157,325.59366,2.51267594,
mackay,C,774,724,21,10,36,0.23,0.36237,65.455,28.681,-0.392,0.462535,0.980572281,1.322219295,1047.15,0.954973022,2.859738566,0.984807753,0.809016994,334.87534,2.524883168,
mackay,D,774,724,37,8,37.5,0.23,0.36237,65.455,28.681,-0.392,0.455178,0.989371191,1.568201724,1047.15,0.954973022,2.859738566,0.990268069,0.79335334,329.548872,2.517919829,
mackay,E,774,724,20,28,17,0.3,0.36237,65.455,28.681,-0.392,0.487496,1,1.301029996,1047.15,0.954973022,2.859738566,0.882947593,0.956304756,352.947104,2.547709623,
mackay,F,774,724,138,45,28,0.3,0.36237,65.455,28.681,-0.392,0.376596,0.857510436,2.139879086,1047.15,0.954973022,2.859738566,0.707106781,0.882947593,272.655504,2.435614269,
mackay,H,774,724,1,39,7,0.3,0.36237,65.455,28.681,-0.392,0.45906,0.933989021,0,1047.15,0.954973022,2.859738566,0.777145961,0.992546152,332.35944,2.521608019,
