paper_id,spec_no,alloy_id,T_C,T_K,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Stt(Sol. Treatment time),1satt,2satt,StT,1satT,2satT,Gamma prime size,Schmid110_1,Schmid110_2,Schmid110_3,Schmid112_1,Schmid112_2,Schmid112_3,Schmid112_to_110_ratio,Schmid112_range,Schmid 11,Schmid110_1_minus_Schmid110_2,Schmid112_to_110_ratio,Schmid112_range,Schmid110_range,Schmid112_1_minus_Schmid112_2,SFE,Liquidus,Misfit_percent
1988,CMSX2 44,CMSX-2,760,1033.15,750,23,46.866,27.164,3,4,48,1300,1050,850,0.45,0.374081,0.338054,0.287217,0.411151,0.300844,0.236777,1.099096,0.174374,0.036027,0.036027,1.099096,0.174374,0.086864,0.110307,26.7243,1665.8,-0.2
1988,CMSX2 45,CMSX-2,760,1033.15,750,33,48.67,28.517,3,4,48,1300,1050,850,0.45,0.355935,0.331417,0.280217,0.396843,0.299326,0.221918,1.114931,0.174925,0.024518,0.024518,1.114931,0.174925,0.075718,0.097517,26.7243,1665.8,-0.2
1988,CMSX2 46,CMSX-2,760,1033.15,750,32,50.374,28.274,3,4,48,1300,1050,850,0.45,0.350272,0.340794,0.255897,0.398987,0.275964,0.246138,1.139079,0.152849,0.009478,0.009478,1.139079,0.152849,0.094375,0.123023,26.7243,1665.8,-0.2
1988,CMSX2 47,CMSX-2,760,1033.15,750,28,51.3,30.244,3,4,48,1300,1050,850,0.45,0.331,0.322564,0.265361,0.377335,0.291118,0.262858,1.139985,0.114477,0.008436,0.008436,1.139985,0.114477,0.065639,0.086217,26.7243,1665.8,-0.2
1988,CMSX2 48,CMSX-2,760,1033.15,750,36,53.108,32.54,3,4,48,1300,1050,850,0.45,0.304046,0.301799,0.265877,0.349784,0.298967,0.290809,1.150433,0.058975,0.002247,0.002247,1.150433,0.058975,0.038169,0.050817,26.7243,1665.8,-0.2
1988,CMSX2 49,CMSX-2,760,1033.15,750,21,45.039,17.963,3,4,48,1300,1050,850,0.45,0.429625,0.400748,0.270771,0.479416,0.286226,0.264716,1.115894,0.2147,0.028877,0.028877,1.115894,0.2147,0.158854,0.19319,26.7243,1665.8,-0.2
1988,CMSX2 50,CMSX-2,760,1033.15,750,15,42.781,8.525,3,4,48,1300,1050,850,0.45,0.449037,0.413416,0.373116,0.497937,0.4057,0.279818,1.1089,0.218119,0.035621,0.035621,1.1089,0.218119,0.075921,0.092237,26.7243,1665.8,-0.2
1988,CMSX2 51,CMSX-2,760,1033.15,750,9,43.78,6.004,3,4,48,1300,1050,850,0.45,0.438653,0.418645,0.382112,0.494961,0.427883,0.264808,1.128366,0.230153,0.020008,0.020008,1.128366,0.230153,0.056541,0.067078,26.7243,1665.8,-0.2
1988,CMSX2 52,CMSX-2,760,1033.15,750,44,44.093,2.147,3,16,48,1300,1050,850,0.45,0.423462,0.410394,0.404349,0.481427,0.458989,0.25203,1.136885,0.229397,0.013068,0.013068,1.136885,0.229397,0.019113,0.022438,26.7243,1665.8,-0.2
mackay,MARM 247 01,MARM247,774,1047.15,724,179,3,42,2,24,0,1232,816,0,0.23,0.428467,0.428467,0.406012,0.481787,0.481787,0.457149,1.124443,0.024638,0,0,1.124443,0.024638,0.022455,0,,,
mackay,B ,MARM247,774,1047.15,724,26,7,38.5,2,24,0,1232,816,0,0.23,0.449715,0.445754,0.416049,0.495275,0.479977,0.446402,1.101308,0.048873,0.003961,0.003961,1.101308,0.048873,0.033666,0.015298,,,
mackay,C,MARM247,774,1047.15,724,21,10,36,2,24,0,1232,816,0,0.23,0.462535,0.453549,0.417844,0.49791,0.476216,0.434326,1.076482,0.063584,0.008986,0.008986,1.076482,0.063584,0.044691,0.021694,,,
mackay,D,MARM247,774,1047.15,724,37,8,37.5,2,24,0,1232,816,0,0.23,0.455178,0.45034,0.413864,0.496156,0.480742,0.44026,1.090026,0.055896,0.004838,0.004838,1.090026,0.055896,0.041314,0.015414,,,
