global_index,fold,paper_id,spec_no,orientation_zone,y_true_log10h,y_pred_log10h,Inv_T_K_value_scaled,Inv_T_K_shap,Gamma_prime_size_value_scaled,Gamma_prime_size_shap,L_value_scaled,L_shap,G_value_scaled,G_shap,SFE_value_scaled,SFE_shap,Misfit_value_scaled,Misfit_shap,cos_001_value_scaled,cos_001_shap,cos_011_value_scaled,cos_011_shap,MultislipPropensity_110_value_scaled,MultislipPropensity_110_shap,Log_RSS_110_value_scaled,Log_RSS_110_shap,stress_MPa_value_scaled,stress_MPa_shap,T_C_value_scaled,T_C_shap
17,5,1988,CMSX2 18,near_011,2.5809249877929688,2.43212890625,-1.5250482559204102,-4.201130073038217,0.5002192258834839,-0.0027380255212439584,1.3133924007415771,0.38245084407857244,-1.528002381324768,0.4773785796945487,1.7686362266540527,0.49422807879569924,1.031246542930603,-0.1983469852043184,-0.6844184398651123,-0.3615691381910932,1.5062150955200195,0.1953685813646525,0.24979045987129211,0.03388730796491532,-1.719680905342102,1.5653308130248123,-1.5556105375289917,1.7898131959154098,1.5578138828277588,0.08473529021436083
18,5,1988,Alloy454 1,near_001,2.3783979415893555,2.4695472717285156,-1.0452767610549927,-2.9336935817676566,1.0805277824401855,0.04170395254949378,1.3522101640701294,0.50807867899605,-1.1865683794021606,0.4714607270880503,-0.01472874078899622,0.023055119804838625,1.816299557685852,-0.38409861233347997,1.1652114391326904,0.3661489157191613,-1.3706215620040894,-0.15929729799174022,0.70418781042099,0.031161793808416268,-1.0069022178649902,0.8227475139955306,-1.2472474575042725,1.4346605218337396,0.9766197800636292,0.010865380370964068
36,5,1988,MXON 11,near_001,2.6138417720794678,2.59197998046875,0.004389230627566576,0.056557634813558764,-0.5443362593650818,-0.12468261035503053,-0.25872859358787537,-0.07460927882226097,0.04010419547557831,0.07847570353850551,-0.3979651927947998,-0.105713586744052,-0.4274325370788574,0.2096879761916805,1.145011067390442,0.7040795685606609,-1.0237174034118652,-0.21807931604678432,0.673208475112915,0.052629754410427665,0.31343314051628113,-0.25264223977852757,-0.0908859521150589,0.1299119897086506,-0.10274074971675873,-0.07636812774064622
61,5,1988,CMSX2 27,interior,1.6989699602127075,1.4280624389648438,0.8858235478401184,2.4832888458315683,-1.2407065629959106,-0.10328405192242014,-0.9380401372909546,-0.40163308704666234,0.8008478283882141,-0.3392053985656433,0.036623042076826096,0.11859977932978609,0.2715178430080414,-0.007146766643982858,-1.0289167165756226,-0.6776429754218504,0.8078885674476624,0.018077470361865623,0.6193432211875916,0.022311936396295293,0.747103214263916,-0.8336550252097328,0.872748613357544,-1.0778825574737407,-0.8499903678894043,-0.022631073849616094
62,5,1988,CMSX2 28,interior,0.6020600199699402,0.5151290893554688,0.8858235478401184,2.517586066799518,-1.2407065629959106,-0.2490857693684299,-0.9380401372909546,-0.3705040320954484,0.8008478283882141,-0.35701626461885405,0.036623042076826096,0.11715406273699398,0.2715178430080414,0.008189071295318547,-0.3889907896518707,-0.43420271155757484,1.3083770275115967,-0.3019727970040896,-1.8403422832489014,-0.1658550688896151,0.9397435188293457,-1.1584365764960678,0.872748613357544,-1.1984992570021349,-0.8499903678894043,-0.026240795333088623
80,5,1988,CMSX2 46,interior,1.5051499605178833,1.529815673828125,0.8858235478401184,2.483123715799177,0.5002192258834839,-0.0733614240483331,-0.9380401372909546,-0.463163796979348,0.8008478283882141,-0.3544595796596425,0.036623042076826096,0.10492663316715096,0.2715178430080414,-0.07710331971163063,-1.203744888305664,-0.7546804304104221,0.21803417801856995,0.06478636311454648,0.25604376196861267,0.04657921009327531,0.5548070073127747,-0.5263883114964869,0.872748613357544,-1.0288697321091793,-0.8499903678894043,-0.02714485605466728
89,5,mackay,C,interior,1.3222192525863647,1.5496273040771484,0.738760232925415,2.568496272253053,-2.0531387329101562,-0.3371779099192326,-1.0059713125228882,-0.642021592789617,0.9322296977043152,-0.6604676096412129,-0.3810064196586609,-0.17628233597760098,0.18541526794433594,0.022583347807558943,1.0718719959259033,0.5719141410757294,-0.5589660406112671,-0.02164023550917409,0.38968250155448914,0.02722218750649065,0.8897804021835327,-0.896532099725379,0.7725306153297424,-1.076454931172915,-0.7337515354156494,-0.03175313266845279
104,5,mackay,S,near_001,1.954242467880249,2.214519500732422,0.738760232925415,2.5228096668333153,0.5002192258834839,-0.010406372047025042,-1.0059713125228882,-0.5934584933631498,0.9322296977043152,-0.5518348167492103,-0.3810064196586609,-0.1403147917087929,0.18541526794433594,-0.06048702399968395,1.1555192470550537,1.069818879207042,-1.210062861442566,-0.35560636564500975,0.6631781458854675,0.0616043051859143,0.7947083115577698,-0.7918726919067345,0.7725306153297424,-1.0448146665550069,-0.7337515354156494,-0.03660985603216685
110,5,1988,CMSX-4 04,near_111,3.0,3.0788707733154297,0.8858235478401184,2.969928824248484,-0.7764596939086914,0.03632288806387007,-0.501339852809906,-0.20207651150838402,0.7759488224983215,-0.26137407584499817,-1.2661906480789185,-0.21104409875259378,-1.7594901323318481,0.5254252993741885,-1.6003705263137817,-0.4145125123799335,-0.47740378975868225,0.13630540820007211,0.7299013733863831,-0.05811182680346382,0.20700044929981232,-0.2636807786595005,0.872748613357544,-1.259108673646741,-0.8499903678894043,-0.030706392565735124
128,5,G.M. Han et al.,K,near_011,0.6720978617668152,0.7789287567138672,0.8858235478401184,2.5552188799640096,0.5002192258834839,0.03266030737161016,-0.9380401372909546,-0.4191391601854967,0.9661347270011902,-0.49292349270117625,-0.5380731225013733,-0.15253252663336006,-0.908594012260437,0.24397736336166104,-0.621446967124939,-0.776722731571426,1.5018049478530884,0.0430982838706398,0.018169023096561432,0.03150960101798678,0.9011836647987366,-1.027720834727228,1.0269300937652588,-1.3409820353355066,-0.8499903678894043,-0.016726359303541813
